DOW,DOW_NBR_PRIMARY,FISHERIES_WATERBODY_ID,WATERSHED_MINOR_ID,DOW_SUB_BASIN_NBR_PRIMARY,LAKE_CLASS_ID_PRIMARY,LAKE_CLASS_ID_ALTERNATE,PLS_SECTION_ID_LAKE_CENTER,LAKE_NAME,ALT_LAKE_NAME,mean.gdd,area.hectares,LAKE_AREA_DOW_ACRES,LAKE_AREA_GIS_ACRES,LAKE_AREA_PLANIMETERED_ACRES,MAX_DEPTH_FEET,MEAN_DEPTH_FEET,PDIST_cum,SHORE_LENGTH_MILES,MAX_FETCH_MILES,littoral.zone,LITTORAL_AREA_ACRES,secchi.m,FETCH_ORIENTATION_DEGREES,LAKE_CENTER_LAT_DD5,LAKE_CENTER_LONG_DD5,LAKE_CENTER_UTM_EASTING,LAKE_CENTER_UTM_NORTHING
82009100,820091,3170,20084,0,43,NA,2802106,Battle Creek,Mud,2742.968841,41.6624237,152,102.95,103,15.3,NA,0.798907388,1.64,0.9,1,102.95,1.8,360,44.94437,-92.97206,502196.8,4976823
82009200,820092,3183,20086,0,30,NA,2802111,Powers,NA,2812.112719,23.55677206,42,58.21,54,41,NA,0.804504163,1.5,0.6,0.5475416,26,1.8,360,44.92561,-92.89918,507961.6,4974705.7
82010100,820101,3102,37065,0,38,NA,2902104,DeMontreville,NA,2768.259079,63.55998316,146,157.06,143,24,NA,0.563325083,3.42,1.12,1,129,2.8,360,45.02232,-92.94141,504628.8,4985484.7
82010300,820103,3113,37065,0,40,NA,2902109,Olson,NA,2768.259079,35.26029118,84,87.13,79,15,NA,0.587753575,1.94,0.6,1,87.13,2.895,337,45.01673,-92.94376,504423.9,4984838.6
82010400,820104,3117,37065,0,24,NA,2902109,Jane,NA,2731.938467,61.8157865,140,152.75,145,39,13,0.597703279,2.01,0.38,0.944652,104.01,3.885,360,45.01567,-92.92445,506005.3,4984666
82010600,820106,3134,37066,0,23,NA,2902123,Elmo,NA,2745.733894,113.8017501,292,281.21,206,140,31,0.648909785,4.54,1.34,0.4592901,44.5,4.13,360,44.98414,-92.88703,509029.9,4981115.5
82011500,820115,3163,20084,0,30,NA,2902131,Tanners,Tanner's,2828.735538,30.10459154,78,74.39,70,46,NA,0.854499128,1.69,0.7,0.6497134,28,2.8,360,44.95351,-92.98147,501462.6,4977676.5
82011800,820118,3091,37065,0,30,NA,2902105,Long,South Long,2857.487996,25.42237452,61,62.82,48.5,34,NA,0.618190367,1.55,0.47,0.7586188,26.5,2.3,315,45.03518,-92.95943,503151.7,4986798.2
82015300,820153,3016,20080,0,43,NA,3102134,Sunset,NA,2649.446742,53.87989404,146,133.14,124,17,NA,0.412313904,2.51,0.78,1,124,2.7,360,45.13376,-92.94282,504536.2,4997779.7
82015900,820159,2925,37053,0,24,NA,3202110,Forest,NA,2778.577638,919.013578,2206,2270.93,2251,37,NA,0.378991112,15.71,4.54,0.6345523,1531,1.524,247,45.27389,-92.94608,504004.3,5013346
82016200,820162,2946,37053,0,38,NA,3202122,Shields,NA,2800.188838,11.97061188,29,29.58,26,27,NA,0.683376078,0.85,0.3,0.69020295,22,1.035,22,45.25273,-92.94519,504295.9,5011042.3
82016300,820163,2940,20075,0,24,NA,3202118,Clear,NA,2829.026615,173.5900597,443,428.95,424,28,NA,0.618417727,4.25,1.3,0.5715936,267,1.37,45,45.26076,-93.00184,499873.8,5011883.3
82016600,820166,3194,20085,0,30,NA,2802118,Carver,NA,2869.316444,19.87412946,52,49.11,51,36,NA,0.843,1.19,0.4,0.5517046,25,1.8,360,44.90641,-92.98146,501446.9,4972540.1
82016700,820167,3041,20081,0,22,27,3002224,White Bear,NA,2723.399455,982.4562022,2432,2427.7,2416,83,20,0.361021615,13.57,3.23,0.85741125,1314,3.76084,337,45.0765,-92.9886,501219.3,4991539.3
83004000,830040,3819,31014,0,43,NA,10503214,Long,NA,2922.317347,106.5497769,256,263.29,264,13,NA,0.772403258,4.68,1.5,0.37991485,263.29,0.8372,315,43.90263,-94.65415,366765.7,4862521.1
83004300,830043,3820,31020,0,42,NA,10603223,St. James,NA,2938.553071,82.05413336,252,202.76,252,15.4,NA,0.834424519,3.74,1.5,0.92575765,202.76,1.21,45,43.9722,-94.65283,367799,4870370.5
86000900,860009,4225,18087,0,30,NA,11902405,Martha,NA,2710.42528,37.95549994,101,93.79,97,22,7.9,0.506794162,1.47,1,0.7421286,72,1.625,NA,45.14222,-93.73916,441896.6,4999009.6
86001100,860011,4043,18087,0,24,NA,11902406,Charlotte,NA,2720.64812,101.7542478,245,251.44,235,46,22.2,0.530173504,3.81,1.3,1,94,5.03,360,45.15107,-93.74717,441249.2,4999983
86002300,860023,4032,18086,0,24,NA,12002429,Beebe,NA,2826.658725,130.6650157,315,322.88,300,27,13.9,0.522029989,4.43,0.98,0.5506333,135,1.3716,45,45.17433,-93.74299,441556.4,5002603.8
86004100,860041,4229,18005,0,30,NA,11902516,Dean,NA,2867.442276,71.13570508,204,175.78,173,20,10.4,0.639973351,2.2,0.81,0.2527237,125,0.61,67,45.1207,-93.83421,434380.7,4996688.7
86004600,860046,4228,18005,0,39,NA,11902520,Crawford,NA,2489.21787,44.68947498,117,110.43,109,19,3.6,0.534146341,1.92,0.72,1,107,3.325,315,45.10188,-93.86055,432324.8,4994612.9
86005100,860051,4029,18073,0,24,NA,12002508,Constance,NA,2800.203815,70.64198816,195,174.56,161,23,12.5,0.56765432,2.61,0.8,0.4093733,87,1.3858,90,45.21843,-93.86325,432228.5,5007507.3
86009000,860090,4027,18007,0,24,27,12002636,Buffalo,NA,2788.924086,628.0322034,1510,1551.9,1552,33,14.7,0.670359091,6.25,2.14,0.227298,760,0.9,45,45.16276,-93.89335,429774.2,5001449.5
86010600,860106,4244,18012,0,43,NA,11902631,Little Waverly,NA,2751.522107,136.7879149,336,338.01,330,12,6.7,0.818672871,3.82,0.99,0.5632472,338.01,0.84,67,45.07067,-93.99624,421553.9,4991319.8
86010700,860107,4216,18074,0,30,NA,11902602,Deer,NA,2662.938809,69.22558716,164,171.06,163,27,9,0.669276012,2.08,0.79,0.68322045,126,1.2925,157,45.14375,-93.91249,428253.7,4999328.3
86011400,860114,3048,18012,0,24,NA,11902632,Waverly,NA,2737.98142,199.0893246,498,491.96,485,70.5,25.5,0.627547363,4.39,1.27,0.325084,141,1.8675,90,45.07534,-93.97245,423536.9,4991664.1
