max_depth_m,Parent_DOW.x,Parent_DOW.y,LAKE_AREA_MN_ACRES,LARGE_LAKE_FLAG,UTM_DATUM_ID,UTM_ZONE_ID
25.908,310812,310812,4335.27,N,83,15
9.7536,310813,310813,9528.13,N,83,15
21.336,310826,310826,3391.85,N,83,15
15.5448,310843,310843,564.76,N,83,15
9.144,310845,310845,137.46,N,83,15
8.5344,310850,310850,1001.62,N,83,15
5.7912,310853,310853,352.81,N,83,15
19.812,310874,310874,40.62,N,83,15
5.4864,310882,310882,649.92,N,83,15
7.3152,310896,310896,2851.74,N,83,15
15.8496,310898,310898,412.3,N,83,15
9.144,310904,310904,263.11,N,83,15
4.2672,310910,310910,224.65,N,83,15
10.668,310913,310913,3108.15,N,83,15
8.8392,310921,310921,607.31,N,83,15
3.048,320017,320017,96.5,N,83,15
7.9248,320018,320018,297.12,N,83,15
2.1336,320020,320020,706.97,N,83,15
2.7432,320022,320022,434.16,N,83,15
2.4384,320024,320024,419.38,N,83,15
2.7432,320069,320069,929.85,N,83,15
3.9624,330001,330001,314.53,N,83,15
3.3528,330009,330009,412.2,N,83,15
3.3528,330015,330015,226.38,N,83,15
4.572,330028,330028,1259.24,N,83,15
14.6304,330032,330032,178.99,N,83,15
